Id_Anuncio_ShopCar,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1187566,207 Quiksilver 1.4 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/peugeot/207-quiksilver-1-4-4p/09-10/1187566,K20 Motors,"Rua Piri�, 1208 - Guanandi - Campo Grande / MS",2009.0,2010.0, MS,"Rua Piri�, 1208 ", Guanandi , Campo Grande ,peugeot,17/06/2022
1114665,Fusca 1300 L,Branca,Gasolina,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300-l/77-77/1114665,Tomit�o Carros e Neg�cios,"Av. Cear�, 2678 - Vila Rica - Campo Grande / MS",1977.0,1977.0, MS,"Av. Cear�, 2678 ", Vila Rica , Campo Grande ,vw-volkswagen,17/06/2022
1192561,Fit LX 1.4,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/honda/fit-lx-1-4/05-06/1192561,Rog�rio Cavalcante de Almeida ,Campo Grande - MS,2005.0,2006.0,,Campo Grande , MS,,honda,17/06/2022
1190401,Gol Trend 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/10-11/1190401,Duarte Autom�veis,"Rua Dr. Paulo Machado, 383 - Jardim dos Estados - Campo Grande / MS",2010.0,2011.0, MS,"Rua Dr. Paulo Machado, 383 ", Jardim dos Estados , Campo Grande ,vw-volkswagen,17/06/2022
1192427,Sandero Expression 1.0 16v,Prata,Flex,,,https://www.shopcar.com.br/veiculos/renault/sandero-expression-1-0-16v/11-11/1192427,Eudes Aparecido Caetano Moura,Dourados - MS,2011.0,2011.0,,Dourados , MS,,renault,17/06/2022
1170553,Ka 1.0,Preta,Flex,,,https://www.shopcar.com.br/veiculos/ford/ka-1-0/12-12/1170553,Auto 1000 Multimarcas,"Av. Bandeirantes, 2253 - Taquarussu - Campo Grande / MS",2012.0,2012.0, MS,"Av. Bandeirantes, 2253 ", Taquarussu , Campo Grande ,ford,17/06/2022
1179039,Agile LT 1.4,Bege,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/agile-lt-1-4/10-11/1179039,Nelson Fernandes de Moura,Campo Grande - MS,2010.0,2011.0,,Campo Grande , MS,,gm-chevrolet,17/06/2022

1185957,Palio Weekend Adventure 1.8 16v,Prata,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-weekend-adventure-1-8-16v/10-11/1185957,Lolo Ve�culos,"Rodovia MS 156, 2595 - Ch�cara Sidelis - Dourados / MS",2010.0,2011.0, MS,"Rodovia MS 156, 2595 ", Ch�cara Sidelis , Dourados ,fiat,17/06/2022
1188489,C3 Hatch Tendance 1.5,Prata,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-tendance-1-5/13-14/1188489,Claudio Pinto de Souza Filho,Inoc�ncia - MS,2013.0,2014.0,,Inoc�ncia , MS,,citro-n,17/06/2022
1190564,Celta LT 1.0 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-lt-1-0-4p/14-15/1190564,Premium Auto Car,"Av. Ricardo Brand�o, 778 - Itanhang� Park - Campo Grande / MS",2014.0,2015.0, MS,"Av. Ricardo Brand�o, 778 ", Itanhang� Park , Campo Grande ,gm-chevrolet,17/06/2022
1124738,Gol Power 1.6 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-power-1-6-4p/11-12/1124738,Grid Autom�veis,"Av. das Bandeiras, 500 - Vila Carvalho - Campo Grande / MS",2011.0,2012.0, MS,"Av. das Bandeiras, 500 ", Vila Carvalho , Campo Grande ,vw-volkswagen,17/06/2022
1192151,Sandero Expression 1.6,Vermelha,Flex,,,https://www.shopcar.com.br/veiculos/renault/sandero-expression-1-6/13-14/1192151,Premium Motors,"Rua Jo�o Pedro de Souza,73 - Jardim Monte L�bano - Campo Grande / MS",2013.0,2014.0, MS,"Rua Jo�o Pedro de Souza,73 ", Jardim Monte L�bano , Campo Grande ,renault,17/06/2022
1187678,Fox 1.6 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-1-6-4p/10-11/1187678,Vale Ve�culos,"Av. Fernando Correa da Costa, 2099 - Jardim Aclima��o - Campo Grande / MS",2010.0,2011.0, MS,"Av. Fernando Correa da Costa, 2099 ", Jardim Aclima��o , Campo Grande ,vw-volkswagen,17/06/2022
1187777,Palio 1.0 Fire 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/15-15/1187777,Ever Motors,"Rua Alegrete, 1801 - Monte Castelo - Campo Grande / MS",2015.0,2015.0, MS,"Rua Alegrete, 1801 ", Monte Castelo , Campo Grande ,fiat,17/06/2022
1187292,Celta LT 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-lt-1-0-4p/15-15/1187292,Lincar Autom�veis,"Av. Salgado Filho, 518 - Amambai - Campo Grande / MS",2015.0,2015.0, MS,"Av. Salgado Filho, 518 ", Amambai , Campo Grande ,gm-chevrolet,17/06/2022
1186718,Voyage Comfortline 1.6,Preta,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/voyage-comfortline-1-6/10-11/1186718,New Car Multimarcas,"Rua do Ros�rio, 259 - Vila Gomes - Campo Grande / MS",2010.0,2011.0, MS,"Rua do Ros�rio, 259 ", Vila Gomes , Campo Grande ,vw-volkswagen,17/06/2022
1189622,Gol 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/12-13/1189622,Eduardo Marques,Campo Grande - MS,2012.0,2013.0,,Campo Grande , MS,,vw-volkswagen,17/06/2022
1187689,Sandero StepWay 1.6 16v,Branca,Flex,,,https://www.shopcar.com.br/veiculos/renault/sandero-stepway-1-6-16v/12-12/1187689,Edimar Aparecido de Oliveira,Campo Grande - MS,2012.0,2012.0,,Campo Grande , MS,,renault,17/06/2022
1192101,Corolla XEi 1.8 16v A/T,Cinza,Gasolina,,,https://www.shopcar.com.br/veiculos/toyota/corolla-xei-1-8-16v/06-07/1192101,Premium Motors,"Rua Jo�o Pedro de Souza,73 - Jardim Monte L�bano - Campo Grande / MS",2006.0,2007.0, MS,"Rua Jo�o Pedro de Souza,73 ", Jardim Monte L�bano , Campo Grande ,toyota,17/06/2022
1190931,C3 Hatch Exclusive 1.6 16v A/T,Prata,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-1-6-16v/12-13/1190931,Paulo do Amaral,Campo Grande - MS,2012.0,2013.0,,Campo Grande , MS,,citro-n,17/06/2022
1185363,J5 1.5 16v,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/jac/j5-1-5-16v/13-14/1185363,K20 Motors,"Rua Piri�, 1208 - Guanandi - Campo Grande / MS",2013.0,2014.0, MS,"Rua Piri�, 1208 ", Guanandi , Campo Grande ,jac,17/06/2022
1148445,Gol 1.0 4p.,Vermelha,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-1-0-4p/14-15/1148445,Art Motors,"Av. Bandeirantes, 242 - Amamba� - Campo Grande / MS",2014.0,2015.0, MS,"Av. Bandeirantes, 242 ", Amamba� , Campo Grande ,vw-volkswagen,17/06/2022
1160196,Jeep CJ-5,Azul,Gasolina,,,https://www.shopcar.com.br/veiculos/ford/jeep-cj-5/76-76/1160196,Tomit�o Carros e Neg�cios,"Av. Cear�, 2678 - Vila Rica - Campo Grande / MS",1976.0,1976.0, MS,"Av. Cear�, 2678 ", Vila Rica , Campo Grande ,ford,17/06/2022
