,best_match_score,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados,Unnamed: 0,nome_marca,id_marca,nome_modelo,id_modelo
975,0.05269823839891329,Corsa Sedan Classic LS 1.0,Preta,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/13-13/1190348,Lincar Automóveis,"Av. Salgado Filho, 518 - Amambai - Campo Grande / MS",2013.0,2013.0, MS,"Av. Salgado Filho, 518 ", Amambai , Campo Grande ,gm-chevrolet,17/06/2022,2178,GM - Chevrolet,23,Corsa Sedan Sup./Classic 1.6 8v Aut/Mec,1053
1093,0.6350524720477821,C4 Pallas GLX 2.0 16v,Prata,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c4-pallas-glx-2-0-16v/10-11/1189123,Denise Souza Marcello,Campo Grande - MS,2010.0,2011.0,,Campo Grande , MS,,citro-n,17/06/2022,789,Citroën,13,C4 PALLAS GLX 2.0/2.0 Flex 16V Mec.,4400
1094,-0.07595874906650682,Modelo,Cor, Combustível,,,Link,Vendedor,Cidade,,,,Cidade,,,,17/06/2022,5700,VW - VolksWagen,59,Gol 1000 (modelo antigo),2399
1102,0.3740665585344582,206 Presence 1.4 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/peugeot/206-presence-1-4-4p/08-08/1155998,Procurocar Carros e Negócios,"Av. Salgado Filho, 987 - Amambaí - Campo Grande / MS",2008.0,2008.0, MS,"Av. Salgado Filho, 987 ", Amambaí , Campo Grande ,peugeot,17/06/2022,4373,Peugeot,44,206 Presence 1.4/ 1.4 Flex 8V 3p,1856
1232,0.3075877393392326,A3 1.6 2p.,Vermelha,Gasolina,,,https://www.shopcar.com.br/veiculos/audi/a3-1-6-2p/00-00/1190699,Prado,Campo Grande - MS,2000.0,2000.0,,Campo Grande , MS,,audi,17/06/2022,76,Audi,6,A3 1.6 3p,52
1311,0.5649735879984275,Marea ELX 2.0 20v,Verde,Gasolina,,,https://www.shopcar.com.br/veiculos/fiat/marea-elx-2-0-20v/98-99/1182415,Ustulin Multimarcas,"Av. Pres. Ernesto Geisel, 5633 - Cabreúva - Campo Grande / MS",1998.0,1999.0, MS,"Av. Pres. Ernesto Geisel, 5633 ", Cabreúva , Campo Grande ,fiat,17/06/2022,1178,Fiat,21,Marea ELX 2.0 20V 4p,484
1313,0.07456287796786368,Gol GL 1.8i 2p.,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-gl-1-8i-2p/90-90/1187027,Jheimes Fernandes dos Santos,Maracaju - MS,1990.0,1990.0,,Maracaju , MS,,vw-volkswagen,17/06/2022,5741,VW - VolksWagen,59,Gol GL 1.8 Mi 2p e 4p,2425
1314,0.07598858873264741,Corsa Sedan Classic Spirit 1.0,Prata,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-spirit-1-0/08-09/1151012,Carlos Diego Dantas Batista,Nova Andradina - MS,2008.0,2009.0,,Nova Andradina , MS,,gm-chevrolet,17/06/2022,2161,GM - Chevrolet,23,Corsa Sed Classic Spirit 1.6 MPFI VHC 8V,1034
1432,0.41216722241702386,Gol Trend 1.0 4p.,Vermelha,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/gol-trend-1-0-4p/06-07/1186325,Federal Car,"Av. Bandeirantes, 2236 - Nova Bandeirantes - Campo Grande / MS",2006.0,2007.0, MS,"Av. Bandeirantes, 2236 ", Nova Bandeirantes , Campo Grande ,vw-volkswagen,17/06/2022,5684,VW - VolksWagen,59,Gol 1.0 Trend/ Power 8V 4p,2388
1434,0.5634147660133844,Xsara Picasso Exclusive 2.0 16v A/T,Prata,Gasolina,,,https://www.shopcar.com.br/veiculos/citro-n/xsara-picasso-exclusive-2-0-16v/08-08/1192408,Henrique dos Anjos Mariano Abreu ,Campo Grande - MS,2008.0,2008.0,,Campo Grande , MS,,citro-n,17/06/2022,873,Citroën,13,Xsara Picasso Exclusive 2.0 16V Aut.,345
1547,0.3541010818501702,207 Passion XS 1.6 16v A/T,Preta,Flex,,,https://www.shopcar.com.br/veiculos/peugeot/207-passion-xs-1-6-16v/09-10/1182924,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS",2009.0,2010.0, MS,"Rua João Pedro de Souza,73 ", Jardim Monte Líbano , Campo Grande ,peugeot,17/06/2022,4406,Peugeot,44,207 Sedan Passion XS 1.6 Flex 16V 4p,4795
